Entity,Code,World Region according to the World Bank
Aruba,ABW,Latin America and Caribbean
Afghanistan,AFG,South Asia
Angola,AGO,Sub-Saharan Africa
Albania,ALB,Europe and Central Asia
Andorra,AND,Europe and Central Asia
United Arab Emirates,ARE,Middle East and North Africa
Argentina,ARG,Latin America and Caribbean
Armenia,ARM,Europe and Central Asia
American Samoa,ASM,East Asia and Pacific
Antigua and Barbuda,ATG,Latin America and Caribbean
Australia,AUS,East Asia and Pacific
Austria,AUT,Europe and Central Asia
Azerbaijan,AZE,Europe and Central Asia
Burundi,BDI,Sub-Saharan Africa
Belgium,BEL,Europe and Central Asia
Benin,BEN,Sub-Saharan Africa
Burkina Faso,BFA,Sub-Saharan Africa
Bangladesh,BGD,South Asia
Bulgaria,BGR,Europe and Central Asia
Bahrain,BHR,Middle East and North Africa
Bahamas,BHS,Latin America and Caribbean
Bosnia and Herzegovina,BIH,Europe and Central Asia
Belarus,BLR,Europe and Central Asia
Belize,BLZ,Latin America and Caribbean
Bermuda,BMU,North America
Bolivia,BOL,Latin America and Caribbean
Brazil,BRA,Latin America and Caribbean
Barbados,BRB,Latin America and Caribbean
Brunei,BRN,East Asia and Pacific
Bhutan,BTN,South Asia
Botswana,BWA,Sub-Saharan Africa
Central African Republic,CAF,Sub-Saharan Africa
Canada,CAN,North America
Switzerland,CHE,Europe and Central Asia
Chile,CHL,Latin America and Caribbean
China,CHN,East Asia and Pacific
Cote d'Ivoire,CIV,Sub-Saharan Africa
Cameroon,CMR,Sub-Saharan Africa
Democratic Republic of Congo,COD,Sub-Saharan Africa
Congo,COG,Sub-Saharan Africa
Colombia,COL,Latin America and Caribbean
Comoros,COM,Sub-Saharan Africa
Cape Verde,CPV,Sub-Saharan Africa
Costa Rica,CRI,Latin America and Caribbean
Cuba,CUB,Latin America and Caribbean
Curacao,CUW,Latin America and Caribbean
Cayman Islands,CYM,Latin America and Caribbean
Cyprus,CYP,Europe and Central Asia
Czechia,CZE,Europe and Central Asia
Germany,DEU,Europe and Central Asia
Djibouti,DJI,Middle East and North Africa
Dominica,DMA,Latin America and Caribbean
Denmark,DNK,Europe and Central Asia
Dominican Republic,DOM,Latin America and Caribbean
Algeria,DZA,Middle East and North Africa
Ecuador,ECU,Latin America and Caribbean
Egypt,EGY,Middle East and North Africa
Eritrea,ERI,Sub-Saharan Africa
Spain,ESP,Europe and Central Asia
Estonia,EST,Europe and Central Asia
Ethiopia,ETH,Sub-Saharan Africa
Finland,FIN,Europe and Central Asia
Fiji,FJI,East Asia and Pacific
France,FRA,Europe and Central Asia
Faeroe Islands,FRO,Europe and Central Asia
Micronesia,FSM,East Asia and Pacific
Gabon,GAB,Sub-Saharan Africa
United Kingdom,GBR,Europe and Central Asia
Georgia,GEO,Europe and Central Asia
Ghana,GHA,Sub-Saharan Africa
Gibraltar,GIB,Europe and Central Asia
Guinea,GIN,Sub-Saharan Africa
Gambia,GMB,Sub-Saharan Africa
Guinea-Bissau,GNB,Sub-Saharan Africa
Equatorial Guinea,GNQ,Sub-Saharan Africa
Greece,GRC,Europe and Central Asia
Grenada,GRD,Latin America and Caribbean
Greenland,GRL,Europe and Central Asia
Guatemala,GTM,Latin America and Caribbean
Guam,GUM,East Asia and Pacific
Guyana,GUY,Latin America and Caribbean
Hong Kong,HKG,East Asia and Pacific
Honduras,HND,Latin America and Caribbean
Croatia,HRV,Europe and Central Asia
Haiti,HTI,Latin America and Caribbean
Hungary,HUN,Europe and Central Asia
Indonesia,IDN,East Asia and Pacific
Isle of Man,IMN,Europe and Central Asia
India,IND,South Asia
Ireland,IRL,Europe and Central Asia
Iran,IRN,Middle East and North Africa
Iraq,IRQ,Middle East and North Africa
Iceland,ISL,Europe and Central Asia
Israel,ISR,Middle East and North Africa
Italy,ITA,Europe and Central Asia
Jamaica,JAM,Latin America and Caribbean
Jordan,JOR,Middle East and North Africa
Japan,JPN,East Asia and Pacific
Kazakhstan,KAZ,Europe and Central Asia
Kenya,KEN,Sub-Saharan Africa
Kyrgyzstan,KGZ,Europe and Central Asia
Cambodia,KHM,East Asia and Pacific
Kiribati,KIR,East Asia and Pacific
Saint Kitts and Nevis,KNA,Latin America and Caribbean
South Korea,KOR,East Asia and Pacific
Kuwait,KWT,Middle East and North Africa
Laos,LAO,East Asia and Pacific
Lebanon,LBN,Middle East and North Africa
Liberia,LBR,Sub-Saharan Africa
Libya,LBY,Middle East and North Africa
Saint Lucia,LCA,Latin America and Caribbean
Liechtenstein,LIE,Europe and Central Asia
Sri Lanka,LKA,South Asia
Lesotho,LSO,Sub-Saharan Africa
Lithuania,LTU,Europe and Central Asia
Luxembourg,LUX,Europe and Central Asia
Latvia,LVA,Europe and Central Asia
Macao,MAC,East Asia and Pacific
Saint Martin (French part),MAF,Latin America and Caribbean
Morocco,MAR,Middle East and North Africa
Monaco,MCO,Europe and Central Asia
Moldova,MDA,Europe and Central Asia
Madagascar,MDG,Sub-Saharan Africa
Maldives,MDV,South Asia
Mexico,MEX,Latin America and Caribbean
Marshall Islands,MHL,East Asia and Pacific
North Macedonia,MKD,Europe and Central Asia
Mali,MLI,Sub-Saharan Africa
Malta,MLT,Middle East and North Africa
Myanmar,MMR,East Asia and Pacific
Montenegro,MNE,Europe and Central Asia
Mongolia,MNG,East Asia and Pacific
Northern Mariana Islands,MNP,East Asia and Pacific
Mozambique,MOZ,Sub-Saharan Africa
Mauritania,MRT,Sub-Saharan Africa
Mauritius,MUS,Sub-Saharan Africa
Malawi,MWI,Sub-Saharan Africa
Malaysia,MYS,East Asia and Pacific
Namibia,NAM,Sub-Saharan Africa
New Caledonia,NCL,East Asia and Pacific
Niger,NER,Sub-Saharan Africa
Nigeria,NGA,Sub-Saharan Africa
Nicaragua,NIC,Latin America and Caribbean
Netherlands,NLD,Europe and Central Asia
Norway,NOR,Europe and Central Asia
Nepal,NPL,South Asia
Nauru,NRU,East Asia and Pacific
New Zealand,NZL,East Asia and Pacific
Oman,OMN,Middle East and North Africa
Channel Islands,OWID_CIS,Europe and Central Asia
Kosovo,OWID_KOS,Europe and Central Asia
Pakistan,PAK,South Asia
Panama,PAN,Latin America and Caribbean
Peru,PER,Latin America and Caribbean
Philippines,PHL,East Asia and Pacific
Palau,PLW,East Asia and Pacific
Papua New Guinea,PNG,East Asia and Pacific
Poland,POL,Europe and Central Asia
Puerto Rico,PRI,Latin America and Caribbean
North Korea,PRK,East Asia and Pacific
Portugal,PRT,Europe and Central Asia
Paraguay,PRY,Latin America and Caribbean
Palestine,PSE,Middle East and North Africa
French Polynesia,PYF,East Asia and Pacific
Qatar,QAT,Middle East and North Africa
Romania,ROU,Europe and Central Asia
Russia,RUS,Europe and Central Asia
Rwanda,RWA,Sub-Saharan Africa
Saudi Arabia,SAU,Middle East and North Africa
Sudan,SDN,Sub-Saharan Africa
Senegal,SEN,Sub-Saharan Africa
Singapore,SGP,East Asia and Pacific
Solomon Islands,SLB,East Asia and Pacific
Sierra Leone,SLE,Sub-Saharan Africa
El Salvador,SLV,Latin America and Caribbean
San Marino,SMR,Europe and Central Asia
Somalia,SOM,Sub-Saharan Africa
Serbia,SRB,Europe and Central Asia
South Sudan,SSD,Sub-Saharan Africa
Sao Tome and Principe,STP,Sub-Saharan Africa
Suriname,SUR,Latin America and Caribbean
Slovakia,SVK,Europe and Central Asia
Slovenia,SVN,Europe and Central Asia
Sweden,SWE,Europe and Central Asia
Eswatini,SWZ,Sub-Saharan Africa
Sint Maarten (Dutch part),SXM,Latin America and Caribbean
Seychelles,SYC,Sub-Saharan Africa
Syria,SYR,Middle East and North Africa
Turks and Caicos Islands,TCA,Latin America and Caribbean
Chad,TCD,Sub-Saharan Africa
Togo,TGO,Sub-Saharan Africa
Thailand,THA,East Asia and Pacific
Tajikistan,TJK,Europe and Central Asia
Turkmenistan,TKM,Europe and Central Asia
Timor,TLS,East Asia and Pacific
Tonga,TON,East Asia and Pacific
Trinidad and Tobago,TTO,Latin America and Caribbean
Tunisia,TUN,Middle East and North Africa
Turkey,TUR,Europe and Central Asia
Taiwan,TWN,East Asia and Pacific
Tuvalu,TUV,East Asia and Pacific
Tanzania,TZA,Sub-Saharan Africa
Uganda,UGA,Sub-Saharan Africa
Ukraine,UKR,Europe and Central Asia
Uruguay,URY,Latin America and Caribbean
United States,USA,North America
Uzbekistan,UZB,Europe and Central Asia
Saint Vincent and the Grenadines,VCT,Latin America and Caribbean
Venezuela,VEN,Latin America and Caribbean
British Virgin Islands,VGB,Latin America and Caribbean
United States Virgin Islands,VIR,Latin America and Caribbean
Vietnam,VNM,East Asia and Pacific
Vanuatu,VUT,East Asia and Pacific
Samoa,WSM,East Asia and Pacific
Yemen,YEM,Middle East and North Africa
South Africa,ZAF,Sub-Saharan Africa
Zambia,ZMB,Sub-Saharan Africa
Zimbabwe,ZWE,Sub-Saharan Africa